5	1	62	1	6	8	1840	2760	29	107	0.000000	SuruUETd
4	1	62	1	7	0	1739	706	66	2160	-1	
5	1	62	1	7	1	1774	706	21	73	41.238205	X|xX
5	1	62	1	7	2	1773	1825	22	174	24.035957	XIXIX!IX
5	1	62	1	7	3	1739	2104	40	18	72.633003	|
5	1	62	1	7	4	1773	2472	23	127	55.894173	uonenyead
5	1	62	1	7	5	1769	2609	40	129	20.172531	sampsooid
5	1	62	1	7	6	1769	2751	40	115	0.000000	uoyeiedO
4	1	62	1	8	0	1740	828	23	729	-1	
5	1	62	1	8	1	1753	828	10	32	19.603928	+
5	1	62	1	8	2	1751	1299	6	9	65.051918	T
5	1	62	1	8	3	1740	1551	17	6	70.299271	t
4	1	62	1	9	0	1687	497	71	2369	-1	
5	1	62	1	9	1	1709	497	22	74	47.289093	X{X
5	1	62	1	9	2	1713	890	44	14	62.167534	[
5	1	62	1	9	3	1711	1035	47	11	95.559906	|
5	1	62	1	9	4	1687	1243	69	12	95.950394	|
5	1	62	1	9	5	1711	2605	20	136	44.651966	JUOUIssosse
5	1	62	1	9	6	1708	2748	30	118	0.702179	UONRISTIAL
4	1	62	1	10	0	1630	1021	61	1806	-1	
5	1	62	1	10	1	1630	1021	61	24	79.096756	|
5	1	62	1	10	2	1642	2706	38	121	24.049828	worjesouas
4	1	62	1	11	0	1592	394	49	2472	-1	
5	1	62	1	11	1	1612	394	25	176	0.000000	X|XixX/xX
5	1	62	1	11	2	1612	1825	21	21	85.749084	X
5	1	62	1	11	3	1592	1845	41	51	55.285255	|X
5	1	62	1	11	4	1611	1925	22	75	73.049217	X{X
5	1	62	1	11	5	1612	2481	27	98	46.656761	(AAAS)
5	1	62	1	11	6	1611	2588	30	54	0.000000	Ue]
5	1	62	1	11	7	1612	2649	23	69	33.875046	AWA
5	1	62	1	11	8	1612	2725	24	102	6.029655	EMYos
5	1	62	1	11	9	1615	2844	26	22	74.635727	(2
4	1	62	1	12	0	1578	1085	39	1188	-1	
5	1	62	1	12	1	1578	1085	17	12	93.710701	+
5	1	62	1	12	2	1592	1493	6	11	12.389069	1
5	1	62	1	12	3	1584	1547	29	25	27.776016	fu
5	1	62	1	12	4	1592	2163	12	15	31.650551	4
5	1	62	1	12	5	1588	2265	29	8	43.967880	|
4	1	62	1	13	0	1521	394	55	2472	-1	
5	1	62	1	13	1	1547	394	24	25	42.031322	X;
5	1	62	1	13	2	1546	447	23	72	0.000000	XIX)
5	1	62	1	13	3	1546	548	23	76	0.000000	XIX!
5	1	62	1	13	4	1546	653	23	175	0.000000	X}X)XPX/
5	1	62	1	13	5	1546	857	23	20	0.000000	xX]
5	1	62	1	13	6	1546	906	22	21	0.000000	xX)
5	1	62	1	13	7	1546	956	23	125	0.000000	xXIYxXix
5	1	62	1	13	8	1546	1111	23	21	52.528805	x
5	1	62	1	13	9	1527	1145	41	41	52.528805	|X
5	1	62	1	13	10	1546	1217	23	21	0.000000	Ki
5	1	62	1	13	11	1546	1269	23	118	0.000000	X|X/X
5	1	62	1	13	12	1522	1417	51	22	0.000000	xX
5	1	62	1	13	13	1522	1447	51	42	0.000000	|x
5	1	62	1	13	14	1527	1518	42	73	64.486015	X|X
5	1	62	1	13	15	1547	1620	22	18	26.078316	x
5	1	62	1	13	16	1525	1650	18	8	26.078316	|
5	1	62	1	13	17	1546	1673	23	20	75.802834	x
5	1	62	1	13	18	1545	1724	24	172	0.000000	X|XPX|X}|
5	1	62	1	13	19	1546	1925	22	75	61.413368	XIX
5	1	62	1	13	20	1546	2080	23	123	4.909195	X|X|X
5	1	62	1	13	21	1521	2265	28	8	74.908737	|
5	1	62	1	13	22	1546	2289	22	14	69.877594	x
5	1	62	1	13	23	1547	2332	22	20	0.000000	xX
5	1	62	1	13	24	1546	2382	23	20	0.000000	|X
5	1	62	1	13	25	1546	2476	24	97	43.127003	ABAJO
5	1	62	1	13	26	1537	2586	43	76	0.000000	MorAaT
5	1	62	1	13	27	1546	2674	30	192	0.000000	JuoureseuR,
5	1	62	1	13	28	1537	2841	43	29	83.715149	(P
4	1	62	1	14	0	1486	2652	28	176	-1	
5	1	62	1	14	1	1489	2652	25	90	49.190678	yoddns
5	1	62	1	14	2	1486	2749	22	79	5.849373	Matacl
4	1	62	1	15	0	1426	497	54	2369	-1	
5	1	62	1	15	1	1451	497	22	73	52.049370	xX|xX
5	1	62	1	15	2	1430	676	22	16	91.428200	|
5	1	62	1	15	3	1451	705	21	72	66.581757	X|X
